pval,effect_size,typeA,typeB
0.4,0.00962000962000964,b,c
0.22,0.012409106785634894,b,b
0.46,0.0017877384460925905,b,c
0.22,0.00618983007042706,b,b
0.39,0.0030314158848863126,b,c
0.27,0.014443437699251716,b,b
0.07,0.03186241551364166,b,c
0.21,0.020611646418098095,b,b
0.13,0.02345533254624166,b,c
0.23,0.019181926107133873,b,b
0.22,0.017662337662337713,b,c
0.19,0.024690252276459268,b,b
0.28,0.009858958246055094,b,c
0.08,0.02515749832823011,b,b
0.06,0.033935629587803495,b,c
0.08,0.021832221832221888,b,b
0.0,0.060012007457262984,b,c
0.0,0.07440217213516964,b,b
0.03,0.042805194805194846,b,c
0.05,0.0394860458690246,b,b
0.02,0.04980519480519485,b,c
0.01,0.05311721526555291,b,b
0.0,0.07104828872784674,b,c
0.0,0.07729107051140949,b,b
0.01,0.06202282565918937,b,c
0.01,0.0670274170274171,b,b
0.0,0.04980519480519485,b,c
0.01,0.05311721526555291,b,b
0.11,0.034039644565960425,b,c
0.16,0.027746371275783055,b,b
0.0,0.07545914575887336,b,c
0.02,0.07502497502497507,b,b
0.0,0.10730519480519485,b,c
0.0,0.09326673326673329,b,b
0.15,0.02633228840125401,b,c
0.15,0.02262294060855219,b,b
0.0,0.008864265927977844,c,b
0.44,0.0,c,c
0.44,0.0010899182561306953,c,b
0.18,0.007588075880758716,c,c
0.36,0.00219780219780219,c,b
0.45,0.0010752688172042113,c,c
0.01,0.02010582010582007,c,b
0.43,0.002072538860103723,c,c
0.29,0.008443271767810123,c,b
0.31,0.011267605633802913,c,c
0.49,0.003342618384401197,c,b
0.02,0.05842696629213484,c,c
0.01,0.043697478991596705,c,b
0.01,0.07167630057803476,c,c
0.02,0.059259259259259345,c,b
0.19,0.014814814814814836,c,c
0.27,0.01760391198044009,c,b
0.31,0.006982543640897787,c,c
0.49,0.0009950248756218638,c,b
0.32,0.00822622107969151,c,c
0.18,0.019638242894056912,c,b
0.05,0.03705722070844686,c,c
0.15,0.02580645161290329,c,b
0.05,0.028650137741046855,c,c
0.17,0.02437673130193907,c,b
